Project,Company,Category,SubCat,URL,Starcount,Subscribers,TotalIssues,Forks,Contributors,Releases,Pulls,TopLanguage,GitURL
strapi/strapi,strapi,CMS,Headless,https://strapi.io/,32465,600,8092,4050,388,162,3588,JavaScript,https://github.com/strapi/strapi
streamlit/streamlit,Streamlit,Developer,Framework,https://www.streamlit.io,12375,244,2541,1041,75,2,1109,Python,https://github.com/streamlit/streamlit
apache/pulsar,StreamNative,Developer,Message Queue,https://streamnative.io,7034,382,9104,1739,340,45,6259,Java,https://github.com/apache/pulsar
open-policy-agent/opa,styra,PlatformOps,Security,https://www.styra.com/,4430,104,3040,523,150,90,1810,Go,https://github.com/open-policy-agent/opa
supabase/supabase,Supabase,Developer,Platform,https://supabase.io/,4636,146,364,170,32,7,223,TypeScript,https://github.com/supabase/supabase
swimos/swim,Swim.ai,Developer,Framework - Streaming,Swim.ai,353,30,60,20,7,1,20,Java,https://github.com/swimos/swim
tailscale/tailscale,tailscale,Networking,Security,https://tailscale.com/,3280,68,1084,171,40,6,468,Go,https://github.com/tailscale/tailscale
taosdata/TDengine,Taos Data,IOT,Platform,https://www.taosdata.com/,14350,672,4776,3678,56,8,3012,C,https://github.com/taosdata/TDengine
uber/cadence,Temporal,Workflow,Automation,https://temporal.io/,4550,1606,3868,443,77,52,2631,Go,https://github.com/uber/cadence
envoyproxy/envoy,tetrate,Networking,TrafficManager,https://www.tetrate.io/,15618,600,14542,2773,406,46,9568,C++,https://github.com/envoyproxy/envoy
projectcalico/calico,Tigera,Networking,Security,https://www.tigera.io/,2254,102,4286,570,159,142,2860,HTML,https://github.com/projectcalico/calico
TileDB-Inc/TileDB,TileDB,Data,Database,https://tiledb.com/,1018,53,1994,109,34,54,1317,C++,https://github.com/TileDB-Inc/TileDB
tilt-dev/tilt,Tilt,Developer,Environment,https://tilt.dev/,4011,38,4035,146,42,124,3278,Go,https://github.com/tilt-dev/tilt
timberio/vector,Timber,Data,Orchestration,https://timber.io/,6002,94,5669,380,104,16,2895,Rust,https://github.com/timberio/vector
timescale/timescaledb,Timescale,Data,Database-TS,http://www.timescale.com/,10076,284,2768,541,44,53,1571,C,https://github.com/timescale/timescaledb
traefik/traefik,Traefik Labs,Networking,TrafficManager,https://traefik.io,32087,698,7691,3533,435,316,3415,Go,https://github.com/traefik/traefik
crossplane/crossplane,Upbound,PlatformOps,Platform,https://upbound.io/,2811,94,2005,271,46,19,1085,Go,https://github.com/crossplane/crossplane
